category,size,Frequency
C6~2479,1,2
C7~6103,1,2
C4~96,1,78
C5~620,1,12
C6~2497,1,12
C7~6121,1,12
C5~616,1,26
C6~2492,1,22
C7~6116,1,22
C5~618,1,4
C6~2495,1,4
C7~6119,1,4
C5~615,1,16
C6~2489,1,16
C7~6113,1,16
C5~617,1,14
C6~2494,1,14
C7~6118,1,14
C5~619,1,6
C6~2496,1,6
C7~6120,1,6
C6~2491,1,4
C7~6115,1,4
C6~2465,1,12
C7~6083,1,12
C6~2466,1,53
C7~6086,1,29
C7~6085,1,24
C6~2474,1,6
C7~6098,1,6
C6~2473,1,3
C7~6097,1,3
C5~605,1,3
C6~2475,1,3
C7~6099,1,3
C2~7,1,16244
C4~101,1,172
C5~632,1,144
C6~2516,1,87
C7~6140,1,87
C6~2515,1,46
C7~6139,1,46
C6~2517,1,10
C7~6141,1,10
C5~630,1,4
C6~2507,1,4
C7~6131,1,4
C5~629,1,16
C6~2506,1,16
C7~6130,1,16
C5~631,1,8
C6~2512,1,3
C7~6136,1,3
C6~2513,1,5
C7~6137,1,5
C4~102,1,79
C5~635,1,20
C6~2522,1,20
C7~6146,1,20
C5~636,1,15
C6~2523,1,15
C7~6147,1,15
C5~634,1,17
C6~2521,1,17
C7~6145,1,17
C5~637,1,17
C6~2524,1,17
C7~6148,1,17
C5~638,1,10
C6~2525,1,10
C7~6149,1,10
C5~34,1,3
C6~123,1,3
C7~307,1,3
C3~13,1,3941
C4~104,1,1366
C5~643,1,241
C6~2532,1,142
C7~6158,1,142
C5~647,1,231
C6~2548,1,229
C7~6178,1,229
C5~644,1,361
C6~2539,1,59
C7~6169,1,59
C4~105,1,1288
C5~661,1,173
C6~2599,1,173
C7~6239,1,173
C4~107,1,163
C5~674,1,59
C6~2650,1,59
C7~6360,1,59
C6~2531,1,99
C7~6155,1,99
C6~2536,1,87
C7~6166,1,87
C5~642,1,51
C6~2529,1,51
C7~6153,1,51
C5~649,1,101
C6~2558,1,13
C7~6198,1,13
C5~675,1,43
C6~2651,1,43
C7~6361,1,43
C6~2538,1,74
C7~6168,1,74
C6~2564,1,8
C7~6204,1,8
C6~2547,1,1
C7~6177,1,1
C3~17,1,966
C4~137,1,146
C5~824,1,39
C6~2978,1,39
C7~6765,1,39
C5~676,1,6
C6~2652,1,6
C7~6362,1,6
C5~673,1,18
C6~2649,1,18
C7~6359,1,18
C5~677,1,23
C6~2653,1,23
C7~6363,1,23
C5~648,1,90
C6~2556,1,22
C7~6196,1,22
C6~2557,1,28
C7~6197,1,28
C6~2555,1,40
C7~6195,1,40
C4~106,1,1064
C5~664,1,130
C6~2604,1,130
C7~6244,1,130
C5~646,1,238
C6~2545,1,218
C7~6175,1,218
C5~665,1,217
C6~2606,1,44
C7~6246,1,44
C6~2540,1,39
C7~6170,1,39
C5~645,1,53
C6~2543,1,53
C7~6173,1,53
C6~2559,1,32
C7~6199,1,32
C6~2561,1,34
C7~6201,1,34
C6~2546,1,16
C7~6176,1,16
C6~2562,1,4
C7~6202,1,4
C6~2563,1,8
C7~6203,1,8
C6~2541,1,75
C7~6171,1,75
C6~2537,1,10
C7~6167,1,10
C6~2542,1,17
C7~6172,1,17
C5~657,1,241
C6~2589,1,186
C7~6229,1,186
C6~2608,1,74
C7~6252,1,70
C5~660,1,55
C6~2598,1,55
C7~6238,1,55
C6~2609,1,55
C7~6256,1,54
C7~6251,1,4
C6~2610,1,7
C7~6259,1,2
C6~2607,1,27
C7~6249,1,27
C6~2611,1,10
C7~6263,1,10
C5~668,1,16
C6~2628,1,9
C7~6315,1,9
C7~6261,1,3
C5~666,1,355
C6~2615,1,55
C7~6273,1,55
C6~2614,1,99
C7~6269,1,99
C6~2616,1,35
C7~6274,1,35
C6~2619,1,80
C7~6280,1,80
C5~669,1,116
C6~2637,1,62
C7~6339,1,19
C7~6338,1,27
C6~2618,1,33
C7~6279,1,33
C6~2617,1,30
C7~6278,1,30
C6~2636,1,54
C7~6335,1,3
C7~6334,1,7
C5~667,1,115
C6~2621,1,20
C7~6282,1,20
C6~2625,1,31
C7~6301,1,31
C6~2623,1,27
C7~6297,1,27
C7~6331,1,10
C6~2622,1,22
C7~6290,1,22
C7~6330,1,10
C6~2613,1,23
C7~6265,1,23
C6~2624,1,6
C7~6298,1,6
C7~6329,1,18
C7~6337,1,16
C6~2629,1,7
C7~6318,1,7
C7~6333,1,6
C5~670,1,115
C6~2646,1,10
C7~6356,1,10
C6~2626,1,9
C7~6309,1,9
C6~2641,1,18
C7~6349,1,10
C6~2640,1,54
C7~6346,1,40
C6~2643,1,12
C7~6353,1,12
C6~2644,1,14
C7~6354,1,14
C7~6347,1,14
C7~6351,1,2
C6~2642,1,1
C7~6352,1,1
C7~6350,1,6
C5~658,1,295
C6~2591,1,145
C7~6231,1,145
C6~2588,1,55
C7~6228,1,55
C6~2592,1,82
C7~6232,1,82
C5~655,1,134
C6~2579,1,120
C7~6219,1,120
C5~659,1,66
C6~2597,1,66
C7~6237,1,66
C6~2580,1,14
C7~6220,1,14
C5~654,1,233
C6~2574,1,157
C7~6214,1,157
C6~2593,1,28
C7~6233,1,28
C6~2594,1,40
C7~6234,1,40
C6~2575,1,39
C7~6215,1,39
C5~653,1,91
C6~2571,1,91
C7~6211,1,91
C6~2645,1,6
C7~6355,1,6
C3~14,1,4042
C4~116,1,279
C5~708,1,19
C6~2725,1,19
C7~6474,1,19
C5~710,1,144
C6~2732,1,94
C7~6481,1,94
C5~709,1,95
C6~2728,1,13
C7~6477,1,13
C6~2727,1,82
C7~6476,1,82
C5~711,1,21
C6~2733,1,21
C7~6482,1,21
C4~118,1,1772
C5~718,1,948
C6~2742,1,631
C7~6494,1,631
C6~2731,1,50
C7~6480,1,50
C5~719,1,680
C6~2751,1,99
C7~6507,1,55
C5~720,1,84
C6~2755,1,80
C7~6515,1,80
C4~117,1,33
C5~716,1,8
C6~2738,1,8
C7~6487,1,8
C5~715,1,19
C6~2737,1,19
C7~6486,1,19
C5~714,1,6
C6~2736,1,6
C7~6485,1,6
C4~122,1,267
C5~756,1,45
C6~2864,1,45
C7~6635,1,45
C5~758,1,180
C6~2871,1,7
C7~6642,1,7
C6~2867,1,4
C7~6638,1,4
C6~2869,1,2
C7~6640,1,2
C6~2870,1,159
C7~6641,1,159
C4~119,1,819
C5~731,1,354
C6~2773,1,354
C7~6536,1,354
C6~2741,1,317
C7~6490,1,317
C5~757,1,37
C6~2865,1,37
C7~6636,1,37
C6~2866,1,3
C7~6637,1,3
C6~2868,1,5
C7~6639,1,5
C4~124,1,411
C5~769,1,23
C6~2884,1,23
C7~6655,1,23
C5~755,1,5
C6~2863,1,5
C7~6634,1,5
C5~733,1,25
C6~2779,1,25
C7~6542,1,25
C5~717,1,60
C6~2739,1,60
C7~6488,1,60
C5~732,1,51
C6~2774,1,51
C7~6537,1,51
C5~766,1,221
C6~2881,1,216
C7~6652,1,216
C6~2752,1,581
C7~6510,1,46
C4~123,1,105
C5~760,1,22
C6~2873,1,22
C7~6644,1,22
C7~6511,1,341
C5~727,1,133
C6~2765,1,133
C7~6525,1,133
C5~767,1,139
C6~2882,1,139
C7~6653,1,139
C5~761,1,40
C6~2874,1,40
C7~6645,1,40
C4~121,1,351
C5~747,1,192
C6~2832,1,192
C7~6601,1,192
C5~764,1,22
C6~2877,1,22
C7~6648,1,22
C3~5,1,4258
C4~31,1,2235
C5~191,1,350
C6~771,1,10
C7~1675,1,10
C5~750,1,113
C6~2839,1,113
C7~6610,1,113
C7~6512,1,194
C7~6506,1,11
C5~728,1,197
C6~2766,1,197
C7~6526,1,197
C5~749,1,17
C6~2838,1,17
C7~6609,1,17
C5~748,1,29
C6~2837,1,29
C7~6608,1,29
C5~729,1,42
C6~2771,1,42
C7~6534,1,42
C5~730,1,12
C6~2772,1,12
C7~6535,1,12
C5~762,1,10
C6~2875,1,10
C7~6646,1,10
C5~768,1,23
C6~2883,1,23
C7~6654,1,23
C4~33,1,751
C5~207,1,75
C6~834,1,47
C7~1750,1,47
C6~2754,1,1
C7~6514,1,1
C5~203,1,58
C6~811,1,19
C7~1727,1,19
C7~6508,1,33
C3~15,1,1309
C4~126,1,22
C5~772,1,11
C6~2887,1,11
C7~6658,1,11
C5~773,1,9
C6~2890,1,9
C7~6665,1,9
C4~128,1,446
C5~781,1,299
C6~2910,1,32
C7~6685,1,32
C4~129,1,726
C5~788,1,650
C6~2932,1,77
C7~6717,1,77
C6~2916,1,15
C7~6691,1,15
C6~2915,1,56
C7~6690,1,56
C6~2918,1,41
C7~6693,1,41
C6~2914,1,20
C7~6689,1,20
C5~779,1,39
C6~2900,1,17
C7~6675,1,17
C4~130,1,104
C5~793,1,63
C6~2940,1,46
C7~6727,1,46
C6~2911,1,21
C7~6686,1,21
C6~2917,1,41
C7~6692,1,41
C6~2908,1,11
C7~6683,1,11
C6~2933,1,91
C7~6719,1,74
C6~2913,1,23
C7~6688,1,23
C6~2928,1,93
C7~6704,1,81
C5~795,1,8
C6~2945,1,8
C7~6732,1,8
C6~2929,1,280
C7~6707,1,215
C5~778,1,49
C6~2896,1,19
C7~6671,1,19
C6~2909,1,22
C7~6684,1,22
C5~777,1,46
C6~2894,1,46
C7~6669,1,46
C7~6708,1,65
C6~2898,1,18
C7~6673,1,18
C6~2902,1,14
C7~6677,1,14
C6~2897,1,12
C7~6672,1,12
C5~780,1,13
C6~2906,1,7
C7~6681,1,7
C6~2901,1,8
C7~6676,1,8
C6~2905,1,5
C7~6680,1,5
C6~2904,1,1
C7~6679,1,1
C6~2912,1,17
C7~6687,1,17
C6~2931,1,12
C7~6714,1,7
C5~787,1,42
C6~2926,1,5
C7~6701,1,5
C6~2925,1,37
C7~6700,1,37
C7~6705,1,12
C6~2930,1,97
C7~6710,1,60
C5~786,1,34
C6~2923,1,34
C7~6698,1,34
C7~6716,1,2
C7~6720,1,17
C7~6711,1,17
C7~6715,1,3
C7~6712,1,20
C5~794,1,31
C6~2944,1,29
C7~6731,1,29
C6~2939,1,7
C7~6726,1,7
C6~2941,1,10
C7~6728,1,10
C6~2943,1,2
C7~6730,1,2
C3~16,1,297
C4~134,1,19
C5~810,1,19
C6~2962,1,19
C7~6749,1,19
C4~132,1,239
C5~804,1,56
C6~2956,1,56
C7~6743,1,56
C5~803,1,24
C6~2955,1,24
C7~6742,1,24
C5~799,1,56
C6~2951,1,40
C7~6738,1,40
C5~802,1,51
C6~2954,1,51
C7~6741,1,51
C5~801,1,28
C6~2953,1,28
C7~6740,1,28
C5~800,1,22
C6~2952,1,22
C7~6739,1,22
C6~2950,1,16
C7~6737,1,16
C4~135,1,39
C5~815,1,39
C6~2967,1,39
C7~6754,1,39
C5~823,1,28
C6~2977,1,28
C7~6764,1,28
C5~825,1,23
C6~2979,1,23
C7~6766,1,23
C5~822,1,2
C6~2976,1,2
C7~6763,1,2
C4~138,1,330
C5~834,1,115
C6~2998,1,115
C7~6785,1,115
C5~835,1,60
C6~3001,1,31
C7~6788,1,31
C5~831,1,41
C6~2990,1,27
C7~6777,1,27
C5~830,1,50
C6~2987,1,19
C7~6774,1,19
C4~139,1,34
C5~843,1,15
C6~3011,1,15
C7~6798,1,15
C6~3000,1,12
C7~6787,1,12
C6~2986,1,17
C7~6773,1,17
C5~833,1,24
C6~2996,1,18
C7~6783,1,18
C6~3003,1,8
C7~6790,1,8
C5~832,1,31
C6~2993,1,13
C7~6780,1,13
C6~2985,1,14
C7~6772,1,14
C5~841,1,8
C6~3009,1,8
C7~6796,1,8
C4~141,1,42
C5~853,1,12
C6~3036,1,3
C7~6823,1,3
C6~3035,1,9
C7~6822,1,9
C4~142,1,19
C5~855,1,14
C6~3038,1,14
C7~6825,1,14
C4~140,1,148
C5~848,1,27
C6~3025,1,24
C7~6812,1,24
C5~821,1,54
C6~2975,1,54
C7~6762,1,54
C6~2992,1,18
C7~6779,1,18
C6~2997,1,5
C7~6784,1,5
C6~3002,1,9
C7~6789,1,9
C5~845,1,95
C6~3016,1,56
C7~6803,1,56
C6~3018,1,11
C7~6805,1,11
C6~3015,1,9
C7~6802,1,9
C5~847,1,10
C6~3023,1,10
C7~6810,1,10
C6~3017,1,13
C7~6804,1,13
C6~3014,1,6
C7~6801,1,6
C5~846,1,14
C6~3022,1,8
C7~6809,1,8
C5~852,1,30
C6~3032,1,21
C7~6819,1,21
C6~3020,1,3
C7~6807,1,3
C4~143,1,213
C5~862,1,17
C6~3058,1,17
C7~6851,1,17
C6~3021,1,3
C7~6808,1,3
C6~3026,1,3
C7~6813,1,3
C6~3033,1,9
C7~6820,1,9
C5~861,1,127
C6~3056,1,91
C7~6845,1,27
C5~860,1,29
C6~3053,1,16
C7~6840,1,16
C5~856,1,5
C6~3039,1,5
C7~6826,1,5
C6~3054,1,3
C7~6841,1,3
C6~3052,1,10
C7~6839,1,10
C5~858,1,15
C6~3042,1,9
C7~6829,1,9
C7~6844,1,29
C5~859,1,20
C6~3048,1,13
C7~6835,1,13
C4~144,1,34
C5~863,1,34
C6~3059,1,34
C7~6852,1,34
C7~6846,1,35
C6~3043,1,6
C7~6830,1,6
C6~3057,1,36
C7~6848,1,7
C7~6850,1,14
C6~3049,1,7
C7~6836,1,7
C7~6849,1,15
C5~842,1,10
C6~3010,1,10
C7~6797,1,10
C3~18,1,758
C4~146,1,360
C5~867,1,134
C6~3072,1,6
C7~6871,1,1
C6~3075,1,9
C7~6877,1,9
C6~3073,1,36
C7~6874,1,19
C7~6870,1,4
C5~868,1,162
C6~3079,1,41
C7~6885,1,21
C6~3077,1,84
C7~6881,1,47
C6~3080,1,20
