word,id,cnt
C6~8709,544,2337
C7~17168,545,2337
JAR,546,2336
CAT,547,2324
11,548,2323
C6~13409,549,2322
C7~28000,550,2322
C4~150,551,2320
C3~56,552,2315
PEACH,553,2310
C6~12858,554,2304
C7~26962,555,2304
VODKA,556,2297
CHOICE,557,2293
C6~11481,558,2288
C7~24267,559,2288
SOUR,560,2284
C4~813,561,2283
WOOD,562,2278
C6~12700,563,2278
DOUBLE,564,2277
NATURE,565,2276
C4~335,566,2275
FAMILY,567,2274
ALMOND,568,2274
BEANS,569,2273
STAR,570,2273
C5~4165,571,2270
C6~12863,572,2270
C7~26967,573,2270
C5~3652,574,2270
C6~11509,575,2270
C7~24295,576,2270
C5~5386,577,2268
C6~16727,578,2268
C7~33478,579,2268
C4~1155,580,2264
SANTA,581,2262
30,582,2261
GEL,583,2253
HEAD,584,2253
C4~1193,585,2249
C5~1383,586,2248
C3~4,587,2245
M,588,2242
C5~4362,589,2242
OLIVE,590,2241
BAKERY,591,2237
C4~31,592,2235
C5~4553,593,2233
BULK,594,2215
C3~48,595,2210
C6~4,596,2206
ROUND,597,2203
C4~752,598,2202
C5~4186,599,2202
C6~12892,600,2202
C7~26996,601,2202
C4~1158,602,2201
C5~6705,603,2201
C6~20948,604,2201
C7~45107,605,2201
C4~970,606,2199
CHILI,607,2198
C4~478,608,2197
C6~12857,609,2190
C7~26961,610,2190
CARDS,611,2187
C4~718,612,2182
COLD,613,2179
C,614,2173
ORG,615,2165
C6~18862,616,2163
BITES,617,2162
BONE,618,2162
C5~4381,619,2157
PINEAPPLE,620,2155
BUNNY,621,2151
SQUARE,622,2149
C5~4354,623,2149
BLUEBERRY,624,2146
BEST,625,2139
0,626,2136
YOGURT,627,2134
MED,628,2133
C4~1176,629,2133
C4~1041,630,2132
OLD,631,2129
00,632,2127
C4~679,633,2126
SS,634,2124
BEAN,635,2119
SHAMPOO,636,2119
C5~6919,637,2118
C6~21667,638,2118
C7~46302,639,2118
FRENCH,640,2117
LED,641,2108
C2~22,642,2108
CLEAR,643,2101
EASTER,644,2100
READY,645,2097
BALL,646,2093
SHIPPER,647,2090
C4~417,648,2090
C6~16635,649,2088
C7~33374,650,2088
C3~58,651,2083
COCKTAIL,652,2080
FLORAL,653,2074
FAT,654,2072
C5~5183,655,2064
GOURMET,656,2062
C3~25,657,2053
C7~33093,658,2051
C5~4411,659,2050
C6~13556,660,2050
C7~28204,661,2050
PLUSH,662,2031
C5~5099,663,2031
BEAR,664,2029
C5~2140,665,2029
RANCH,666,2017
C5~3653,667,2013
C6~11510,668,2013
C7~24296,669,2013
C4~538,670,2011
C3~36,671,2008
C4~798,672,2006
C5~5898,673,2006
BOTTLES,674,2004
KIDS,675,2002
C5~887,676,1998
C4~979,677,1991
HALF,678,1989
