Item,Freq,Size
7~7566,17,1
7~8836,12,1
7~7342,36,1
4~3157,136,1
5~3157,4,1
6~3157,4,1
7~3157,4,1
5~9855,18,1
6~13005,6,1
7~14636,3,1
5~5171,70,1
6~11499,11,1
7~13006,6,1
7~13572,5,1
6~12054,9,1
7~14001,4,1
7~14637,3,1
6~14638,3,1
7~14639,3,1
6~14002,4,1
7~14640,3,1
7~16090,1,1
7~13573,5,1
6~5917,55,1
7~7501,35,1
7~9507,20,1
5~6659,44,1
6~14003,4,1
7~15212,2,1
6~10667,14,1
7~14004,4,1
6~8573,26,1
7~9856,18,1
7~15213,2,1
7~11722,10,1
7~12326,8,1
4~978,586,1
5~978,3,1
6~978,3,1
7~978,3,1
5~2732,180,1
6~5737,56,1
7~5737,2,1
5~2553,194,1
6~12327,7,1
7~12327,1,1
5~3697,118,1
6~8267,14,1
7~8267,14,1
6~8022,15,1
7~8022,15,1
5~4380,91,1
6~9709,18,1
7~9709,1,1
6~9057,22,1
7~9057,1,1
6~10668,14,1
7~12328,8,1
7~13007,6,1
6~10669,14,1
7~12705,7,1
7~12706,7,1
6~3501,64,1
7~3501,64,1
6~8837,12,1
7~8837,12,1
7~11500,11,1
7~11501,11,1
6~9857,9,1
7~9857,9,1
7~13008,6,1
6~13574,5,1
7~15214,2,1
7~14641,3,1
6~15215,2,1
7~15216,2,1
6~6775,43,1
7~12329,8,1
7~13009,6,1
6~15217,2,1
7~15218,2,1
6~12330,4,1
7~12330,4,1
6~4747,81,1
7~14642,3,1
7~14643,3,1
6~14005,4,1
7~14006,4,1
7~12331,8,1
7~12055,9,1
7~15219,2,1
7~16091,1,1
6~14644,3,1
7~14645,3,1
6~14646,3,1
7~14647,3,1
6~14648,3,1
7~14649,3,1
6~13010,6,1
7~13011,6,1
6~10084,17,1
7~11502,11,1
7~13012,6,1
7~10489,15,1
6~3345,137,1
7~13013,6,1
7~3443,131,1
6~13014,6,1
7~13015,6,1
6~12707,7,1
7~13575,5,1
7~15220,2,1
6~13016,6,1
7~16092,1,1
7~13576,5,1
7~13577,5,1
7~10243,16,1
7~9710,19,1
7~12056,9,1
7~14007,4,1
7~14008,4,1
7~15221,2,1
7~13578,5,1
7~14009,4,1
7~6497,46,1
7~15222,2,1
7~12332,8,1
7~14650,3,1
7~14010,4,1
6~14011,4,1
7~14012,4,1
7~13579,5,1
7~14651,3,1
6~13580,5,1
7~14652,3,1
7~15223,2,1
2~124,6338,1
3~278,2431,1
4~3587,88,1
5~3587,12,1
6~3587,12,1
7~3587,12,1
5~11140,4,1
6~11140,4,1
7~11140,4,1
5~9174,22,1
6~12333,4,1
7~12333,4,1
6~10670,7,1
7~10670,7,1
6~9175,11,1
7~9175,11,1
5~6776,43,1
6~7567,17,1
7~7567,17,1
6~9176,11,1
7~9176,11,1
6~8023,15,1
7~8023,15,1
5~12708,7,1
6~13017,3,1
7~13017,3,1
6~12334,4,1
7~12334,4,1
4~1112,523,1
5~6594,45,1
6~5738,29,1
7~5738,29,1
5~6293,49,1
6~5442,32,1
7~5442,32,1
6~7802,16,1
7~7802,16,1
6~7568,17,1
7~7568,17,1
5~11503,11,1
6~12335,4,1
7~12335,4,1
5~11723,10,1
6~10244,8,1
7~10244,8,1
5~3631,122,1
6~10245,8,1
7~10245,8,1
5~3231,144,1
6~7803,16,1
7~7803,16,1
6~10671,7,1
7~10671,7,1
6~14013,2,1
7~14013,2,1
6~6660,22,1
7~6660,22,1
5~6825,42,1
6~12336,4,1
7~12336,4,1
6~4841,39,1
7~4841,39,1
6~4910,38,1
7~4910,38,1
6~7804,16,1
7~7804,16,1
6~15224,1,1
7~15224,1,1
6~10246,8,1
7~10246,8,1
6~11141,6,1
7~11141,6,1
6~5443,32,1
7~5443,32,1
6~5809,57,1
7~8024,30,1
6~15225,1,1
7~15225,1,1
7~8445,27,1
6~11724,5,1
7~11724,5,1
6~5739,29,1
7~5739,29,1
5~4110,100,1
6~5347,33,1
7~5347,33,1
6~7805,16,1
7~7805,16,1
6~8574,26,1
7~9858,18,1
7~13018,6,1
6~6162,51,1
7~8180,29,1
7~9177,22,1
7~15226,2,1
4~137,5454,1
5~137,116,1
6~137,116,1
7~137,116,1
5~469,1310,1
6~469,1,1
7~469,1,1
5~2831,171,1
6~6343,24,1
7~6343,24,1
6~1805,147,1
7~1805,147,1
6~2064,246,1
7~2064,4,1
6~810,723,1
7~810,2,1
5~4288,94,1
6~14014,2,1
7~14014,2,1
6~3502,64,1
7~3502,64,1
6~4562,43,1
7~4562,43,1
5~2333,217,1
6~6826,21,1
7~6826,21,1
5~332,1998,1
6~332,1,1
7~332,1,1
6~4776,40,1
7~4776,40,1
6~1472,189,1
7~1472,189,1
6~11725,5,1
7~11725,5,1
5~6450,47,1
6~8838,12,1
7~8838,12,1
6~8025,30,1
7~15227,2,1
7~11504,11,1
6~2090,246,1
7~14653,3,1
6~1272,445,1
7~1272,5,1
6~10672,7,1
7~10672,7,1
7~8268,28,1
7~2210,231,1
7~8026,30,1
7~2116,243,1
6~5172,35,1
7~5172,35,1
5~1904,275,1
6~5957,27,1
7~5957,27,1
6~11726,5,1
7~11726,5,1
7~843,691,1
5~1947,268,1
6~2020,128,1
7~2020,128,1
6~3006,79,1
7~3006,79,1
6~1675,164,1
7~1675,164,1
6~3549,126,1
7~11727,10,1
7~10490,15,1
6~580,1052,1
7~6163,51,1
6~7806,16,1
7~7806,16,1
6~12337,4,1
7~12337,4,1
7~3747,116,1
7~1341,425,1
6~1485,374,1
7~9711,19,1
7~613,1001,1
6~2077,124,1
7~2077,124,1
5~644,958,1
6~3907,108,1
7~11728,10,1
6~2380,212,1
7~14654,3,1
7~1551,355,1
6~4234,96,1
7~4235,96,1
6~1077,542,1
7~6950,41,1
7~4177,98,1
7~2417,209,1
7~1151,501,1
4~4,3,1
5~4,3,1
6~4,3,1
7~4,3,1
4~1239,462,1
5~8446,9,1
6~8446,9,1
7~8446,9,1
5~2532,196,1
6~8027,15,1
7~8027,15,1
5~7190,38,1
6~9508,10,1
7~9508,10,1
6~5846,28,1
7~5846,28,1
5~10491,5,1
6~10491,5,1
7~10491,5,1
5~2544,195,1
6~5220,69,1
7~6451,47,1
5~9712,19,1
6~7191,19,1
7~7191,19,1
6~1525,181,1
7~1525,181,1
6~3550,126,1
7~3650,121,1
7~15228,2,1
7~9178,22,1
7~14655,3,1
2~126,6190,1
3~932,632,1
4~1037,7,1
5~1037,548,1
6~1037,3,1
7~1037,3,1
5~14656,1,1
6~14656,1,1
7~14656,1,1
5~10492,5,1
6~10492,5,1
7~10492,5,1
3~170,4357,1
4~5444,64,1
5~3038,52,1
6~3038,52,1
7~3038,52,1
5~7343,12,1
6~7343,12,1
7~7343,12,1
4~2163,237,1
5~6294,49,1
6~14015,2,1
7~14015,2,1
5~5810,57,1
6~8839,12,1
7~8839,12,1
5~10247,16,1
6~15229,1,1
7~15229,1,1
6~4406,45,1
7~4406,45,1
6~13019,3,1
7~13019,3,1
6~8840,12,1
7~8840,12,1
6~8841,12,1
7~8841,12,1
5~7284,37,1
6~5740,29,1
7~5740,29,1
6~5631,30,1
7~5631,30,1
6~14016,2,1
7~14016,2,1
5~4842,78,1
6~4911,38,1
7~4911,38,1
6~13020,3,1
7~13020,3,1
6~10248,8,1
7~10248,8,1
6~4777,40,1
7~4777,40,1
4~4614,84,1
5~9370,7,1
6~9370,7,1
7~9370,7,1
5~4893,77,1
6~12338,4,1
7~12338,4,1
6~3871,55,1
7~3871,55,1
6~11729,5,1
7~11729,5,1
6~13021,3,1
7~13021,3,1
6~15230,1,1
7~15230,1,1
6~13022,3,1
7~13022,3,1
6~11142,6,1
7~11142,6,1
3~316,1647,1
4~329,2018,1
5~378,1647,1
6~722,521,1
7~722,42,1
7~1300,436,1
7~6777,43,1
4~3987,105,1
5~8028,10,1
6~8028,10,1
7~8028,10,1
5~5348,22,1
6~5348,22,1
7~5348,22,1
5~3662,40,1
6~3662,40,1
7~3662,40,1
5~5349,22,1
6~5349,22,1
7~5349,22,1
5~7715,11,1
6~7715,11,1
7~7715,11,1
6~1961,233,1
7~1961,11,1
7~2997,53,1
7~5494,21,1
7~7012,40,1
7~3606,41,1
7~8842,24,1
7~3480,43,1
1~28,10961,1
2~28,8131,1
3~28,10863,1
4~732,818,1
5~732,1,1
6~732,1,1
7~732,1,1
5~1770,302,1
6~2794,172,1
7~2794,2,1
6~3390,130,1
7~3390,4,1
5~2709,182,1
6~2364,107,1
