tran_dt,amt
2019-07-08,6.462777777777778
2019-07-09,6.710000000000001
2019-07-10,6.5434
2019-07-11,6.694166666666667
2019-07-12,6.403432835820895
2019-07-13,6.873064516129032
2019-07-14,6.0157936507936505
2019-07-15,6.892388059701493
2019-07-16,7.0441666666666665
2019-07-17,5.7512
2019-07-18,6.186315789473684
2019-07-19,6.073947368421052
2019-07-20,6.0258558558558555
2019-07-21,6.60891472868217
2019-07-22,6.223953488372093
2019-07-23,6.6293750000000005
2019-07-24,6.105443037974683
2019-07-25,6.571066666666667
2019-07-26,5.777164179104478
2019-07-27,6.671826086956521
2019-07-28,6.587777777777777
2019-07-29,7.112608695652174
2019-07-30,5.6803125
2019-07-31,5.863333333333333
2019-08-01,6.028703703703704
2019-08-02,7.546904761904763
2019-08-03,6.631678321678322
