,PREV. CLOSE,IEP,CHNG,%CHNG,FINAL,FINAL QUANTITY,VALUE (₹ Crores),FFM CAP (₹ Crores),NM 52W H,NM 52W L
PFC,500.45001220703125,500.45001220703125,-9.54998779296875,-1.872546626072304,500.45001220703125,14289786,715.1323578135864,N/A,517.1500244140625,137.4775848388672
GODREJCP,1273.949951171875,1273.949951171875,-25.35009765625,-1.9510580084341538,1273.949951171875,433121,55.17744768015137,N/A,1340.21044921875,951.8883056640625
TATAPOWER,425.3500061035156,425.3500061035156,-7.5,-1.7327018353342434,425.3500061035156,9046204,384.78029266136474,N/A,457.8500061035156,211.57952880859375
HINDALCO,695.1500244140625,695.1500244140625,-9.699951171875,-1.3761724491529548,695.1500244140625,10356109,719.9049424184692,N/A,705.2999877929688,403.266845703125
HINDZINC,666.5,666.5,-40.5,-5.728429985855729,666.5,2461796,164.0787034,N/A,772.2999877929688,281.9804382324219
TECHM,1240.8499755859375,1240.8499755859375,-39.2000732421875,-3.0623859807727705,1240.8499755859375,2608514,323.6774533215576,N/A,1407.949951171875,1024.8514404296875
AMBUJACEM,619.1500244140625,619.1500244140625,-9.79998779296875,-1.558150505249198,619.1500244140625,2485357,153.88088472276613,N/A,646.5,406.6499938964844
INDUSINDBK,1446.800048828125,1446.800048828125,-11.199951171875,-0.768172234010631,1446.800048828125,3415534,494.1594757974121,N/A,1688.8499755859375,1272.6385498046875
CIPLA,1466.5999755859375,1466.5999755859375,-28.4500732421875,-1.9029512265818598,1466.5999755859375,1732018,254.01775565144044,N/A,1504.0999755859375,945.3826293945312
GAIL,199.39999389648438,199.39999389648438,-1.600006103515625,-0.7960229370724502,199.39999389648438,16884347,336.6738688746124,N/A,209.5500030517578,100.65628051757812
RECLTD,547.75,547.75,-21.0,-3.6923076923076925,547.75,11581607,634.382523425,N/A,580.2000122070312,132.032958984375
BRITANNIA,5198.5498046875,5198.5498046875,-3.55029296875,-0.0682473020915062,5198.5498046875,357615,185.90793884033204,N/A,5361.2998046875,4397.2998046875
UNIONBANK,152.60000610351562,152.60000610351562,-2.149993896484375,-1.389333697243538,152.60000610351562,11534566,176.0174842001404,N/A,160.1999969482422,66.41384887695312
ADANIENSOL,1099.550048828125,1099.550048828125,13.7000732421875,1.261691168229274,1099.550048828125,4029474,443.06083334516603,N/A,1198.699951171875,718.9000244140625
IOB,67.55000305175781,67.55000305175781,-2.399993896484375,-3.431013582831451,67.55000305175781,28137568,190.0692804269043,N/A,79.6500015258789,23.799999237060547
LODHA,1319.199951171875,1319.199951171875,39.199951171875,3.0624961853027344,1319.199951171875,941609,124.2170546822998,N/A,1349.449951171875,524.792724609375
EICHERMOT,4742.9501953125,4742.9501953125,33.2001953125,0.7049247903285737,4742.9501953125,431372,204.59759116523438,N/A,4880.9501953125,3139.25048828125
CANBK,115.05000305175781,115.05000305175781,-1.649993896484375,-1.4138765549549812,115.05000305175781,34480279,396.6956204175461,N/A,125.72000122070312,49.81437301635742
TATACONSUM,1067.199951171875,1067.199951171875,-3.800048828125,-0.35481314921802054,1067.199951171875,2742975,292.73027860656737,N/A,1252.8045654296875,785.417236328125
DRREDDY,5873.75,5873.75,-101.25,-1.6945606694560669,5873.75,600888,352.946589,N/A,6449.60009765625,4466.1240234375
TVSMOTOR,2230.85009765625,2230.85009765625,-14.099853515625,-0.628069837738022,2230.85009765625,740656,165.22925099296876,N/A,2271.91748046875,1267.09033203125
ZYDUSLIFE,1023.9500122070312,1023.9500122070312,-18.54998779296875,-1.77937532786271,1023.9500122070312,1517622,155.39690654256592,N/A,1088.3499755859375,497.6597900390625
ATGL,955.2000122070312,955.2000122070312,3.20001220703125,0.3361357360326943,955.2000122070312,1021766,97.59908956727296,N/A,1172.1500244140625,530.5999755859375
VEDL,440.79998779296875,440.79998779296875,-13.20001220703125,-2.9074916755575444,440.79998779296875,13121891,578.4129392620666,N/A,480.25787353515625,194.9478302001953
CHOLAFIN,1212.8499755859375,1212.8499755859375,-24.6500244140625,-1.9919211647727273,1212.8499755859375,902121,109.41374328255615,N/A,1326.0,1015.8074340820312
HAVELLS,1860.5999755859375,1860.5999755859375,-31.800048828125,-1.680408392404832,1860.5999755859375,1204323,224.0763344397583,N/A,1893.550048828125,1237.8743896484375
HEROMOTOCO,5136.0,5136.0,7.0,0.13647884577890426,5136.0,457324,234.8816064,N/A,5183.9501953125,2714.5615234375
DABUR,551.1500244140625,551.1500244140625,-4.29998779296875,-0.7741448732502734,551.1500244140625,1591503,87.71569173050537,N/A,586.6530151367188,495.20001220703125
SHREECEM,25062.349609375,25062.349609375,-259.900390625,-1.0263716321614391,25062.349609375,40441,101.35464805527344,N/A,29560.888671875,23047.69140625
MANKIND,2094.10009765625,2094.10009765625,-17.89990234375,-0.8475332549124054,2094.10009765625,1341942,281.01608732490234,N/A,2398.550048828125,1355.949951171875
BAJAJHLDNG,7986.25,7986.25,221.25,2.8493238892466195,7986.25,60373,48.215387125,N/A,9149.599609375,6638.8759765625
DIVISLAB,4412.7998046875,4412.7998046875,-31.25,-0.7031874387869841,4412.7998046875,768476,339.1130742707031,N/A,4448.0,3343.699951171875
APOLLOHOSP,5766.4501953125,5766.4501953125,-133.5498046875,-2.2635560116525424,5766.4501953125,643518,371.08144967871095,N/A,6774.0498046875,4586.552734375
NHPC,101.05000305175781,101.05000305175781,-0.9499969482421875,-0.9313695571001838,101.05000305175781,76950330,777.5831081333771,N/A,105.75,42.165061950683594
SHRIRAMFIN,2302.699951171875,2302.699951171875,-63.300048828125,-2.6754035852969147,2302.699951171875,1337399,307.96286119973144,N/A,2588.550048828125,1360.451416015625
BOSCHLTD,30610.349609375,30610.349609375,-529.650390625,-1.7008683064386643,30610.349609375,68884,210.85633224921875,N/A,31882.0,17969.154296875
TORNTPHARM,2658.050048828125,2658.050048828125,-56.14990234375,-2.0687459787001647,2658.050048828125,257543,68.45621837253418,N/A,2734.699951171875,1692.0650634765625
ICICIPRULI,548.9500122070312,548.9500122070312,-7.04998779296875,-1.2679834160015737,548.9500122070312,2668761,146.5016383527649,N/A,629.0,465.53173828125
IDBI,83.8499984741211,83.8499984741211,-1.8499984741210938,-2.1586914119009655,83.8499984741211,6392705,53.60283044955063,N/A,94.6500015258789,52.429378509521484
JSWENERGY,609.0,609.0,1.79998779296875,0.296440671406809,609.0,6028651,367.1448459,N/A,642.2000122070312,249.60000610351562
JINDALSTEL,1031.199951171875,1031.199951171875,4.0,0.389408118199054,1031.199951171875,836710,86.28153111450196,N/A,1077.699951171875,508.2695617675781
BHEL,290.75,290.75,-2.95001220703125,-1.004430399870656,290.75,13068692,379.9722199,N/A,319.20001220703125,81.57190704345703
INDHOTEL,557.2000122070312,557.2000122070312,-8.70001220703125,-1.5373761851378807,557.2000122070312,4689152,261.2795551640625,N/A,617.9500122070312,374.54998779296875
