"SYMBOL","PREV. CLOSE ","IEP","CHNG","%CHNG","FINAL ","FINAL QUANTITY ","VALUE (₹ Crores)","FFM CAP (₹ Crores)","NM 52W H ","NM 52W L "
"JINDALPHOT","665.30","675.30","10.00","1.50","675.30","36","-","-","821.15","318.60"
"TASTYBITE","10,479.45","10,636.65","157.20","1.50","10,636.65","8","0.01","-","19,791.95","10,030.00"
"JSWHL","6,570.95","6,669.50","98.55","1.50","6,669.50","21","0.01","-","7,490.85","4,128.00"
"NIPPOBATRY","590.15","599.00","8.85","1.50","599.00","16","-","-","857.80","348.05"
"AMJLAND","40.05","40.65","0.60","1.50","40.65","590","-","-","45.40","22.25"
"MMP","273.80","277.90","4.10","1.50","277.90","10","-","-","309.90","164.05"
"SADHNANIQ","66.95","67.95","1.00","1.49","67.95","415","-","-","121.42","60.80"
"MAANALU","137.60","139.65","2.05","1.49","139.65","74","-","-","175.00","46.83"
"HMVL","97.50","98.95","1.45","1.49","98.95","72","-","-","127.95","57.90"
"GANGESSECU","156.50","158.80","2.30","1.47","158.80","40","-","-","175.80","101.55"
"UNIDT","232.45","235.85","3.40","1.46","235.85","58","-","-","319.00","168.35"
"DPSCLTD","17.20","17.45","0.25","1.45","17.45","6,266","0.01","-","28.05","10.80"
"STEELCITY","96.35","97.75","1.40","1.45","97.75","102","-","-","109.70","59.75"
"SADBHAV","27.90","28.30","0.40","1.43","28.30","212","-","-","40.30","10.00"
"TEXMOPIPES","80.45","81.60","1.15","1.43","81.60","156","-","-","107.90","54.10"
"WINSOME","3.50","3.55","0.05","1.43","3.55","161","-","-","9.00","2.95"
"PTCIL","7,892.80","8,005.00","112.20","1.42","8,005.00","13","0.01","-","9,540.00","2,950.00"
"KAMATHOTEL","240.00","243.40","3.40","1.42","243.40","104","-","-","372.00","186.70"
"MOHITIND","21.20","21.50","0.30","1.42","21.50","178","-","-","24.85","13.10"
"SBFC","82.75","83.90","1.15","1.39","83.90","8,822","0.07","-","98.00","72.40"
