"SYMBOL","PREV. CLOSE ","IEP","CHNG","%CHNG","FINAL ","FINAL QUANTITY ","VALUE (₹ Crores)","FFM CAP (₹ Crores)","NM 52W H ","NM 52W L "
"LAURUSLABS","441.15","443.75","2.60","0.59","443.75","1,654","0.07","-","471.00","325.30"
"KIRLOSBROS","1,610.55","1,620.00","9.45","0.59","1,620.00","139","0.02","-","1,924.90","530.55"
"HITECHCORP","230.15","231.50","1.35","0.59","231.50","1","-","-","309.00","190.60"
"AJANTPHARM","2,434.75","2,449.00","14.25","0.59","2,449.00","504","0.12","-","2,540.00","1,285.00"
"LTTS","4,602.25","4,629.00","26.75","0.58","4,629.00","248","0.11","-","5,873.35","3,755.25"
"IBREALEST","137.70","138.50","0.80","0.58","138.50","96,296","1.33","-","145.70","58.05"
"DCW","51.90","52.20","0.30","0.58","52.20","8,972","0.05","-","72.40","42.10"
"EXICOM","259.50","261.00","1.50","0.58","261.00","4,465","0.12","-","314.00","169.40"
"ECLERX","2,180.80","2,193.40","12.60","0.58","2,193.40","370","0.08","-","2,828.00","1,521.05"
"SULA","494.80","497.65","2.85","0.58","497.65","1,904","0.09","-","699.00","402.05"
"CHAMBLFERT","409.15","411.50","2.35","0.57","411.50","4,208","0.17","-","439.00","250.05"
"TMB","472.30","475.00","2.70","0.57","475.00","51","-","-","611.35","402.35"
"BLISSGVS","105.35","105.95","0.60","0.57","105.95","157","-","-","149.60","72.00"
"JISLJALEQS","61.55","61.90","0.35","0.57","61.90","3,873","0.02","-","73.45","38.25"
"GMRINFRA","88.20","88.70","0.50","0.57","88.70","1,92,247","1.71","-","94.35","40.00"
"MAHABANK","70.60","71.00","0.40","0.57","71.00","1,82,152","1.29","-","72.55","26.80"
"INOXGREEN","141.20","142.00","0.80","0.57","142.00","5,433","0.08","-","158.00","44.15"
"KCPSUGIND","35.35","35.55","0.20","0.57","35.55","101","-","-","54.05","23.15"
"SFL","893.95","899.00","5.05","0.56","899.00","386","0.03","-","1,369.95","889.00"
"SHREYAS","311.75","313.50","1.75","0.56","313.50","180","0.01","-","505.65","230.20"
"ORIENTELEC","223.35","224.60","1.25","0.56","224.60","2,167","0.05","-","262.00","189.00"
"HARIOMPIPE","572.80","576.00","3.20","0.56","576.00","59","-","-","740.00","440.05"
"NETWORK18","80.65","81.10","0.45","0.56","81.10","1,786","0.01","-","135.70","57.15"
"PDMJEPAPER","98.70","99.25","0.55","0.56","99.25","31,179","0.31","-","105.30","40.05"
"VSSL","314.20","315.95","1.75","0.56","315.95","102","-","-","340.20","174.80"
"SKIPPER","306.25","307.95","1.70","0.56","307.95","1,214","0.04","-","401.00","108.92"
"NAVA","504.60","507.40","2.80","0.55","507.40","132","0.01","-","544.40","236.05"
"SJVN","144.50","145.30","0.80","0.55","145.30","74,255","1.08","-","170.50","35.35"
"SUNDRMFAST","1,151.65","1,158.00","6.35","0.55","1,158.00","192","0.02","-","1,340.70","1,003.05"
"ELECON","1,163.60","1,170.00","6.40","0.55","1,170.00","1,318","0.15","-","1,245.00","518.00"
"IRB","72.90","73.30","0.40","0.55","73.30","1,80,147","1.32","-","76.55","24.95"
"MCDOWELL-N","1,157.70","1,164.05","6.35","0.55","1,164.05","5,582","0.65","-","1,245.80","851.55"
"VSTIND","4,077.70","4,100.00","22.30","0.55","4,100.00","15","0.01","-","4,324.70","3,159.00"
"JAMNAAUTO","128.05","128.75","0.70","0.55","128.75","5,925","0.08","-","144.00","95.90"
"GLAXO","2,361.00","2,373.90","12.90","0.55","2,373.90","285","0.07","-","2,534.00","1,289.70"
"PLASTIBLEN","256.60","258.00","1.40","0.55","258.00","3","-","-","358.00","168.05"
"DALMIASUG","375.95","378.00","2.05","0.55","378.00","122","-","-","490.00","338.05"
"ORICONENT","36.70","36.90","0.20","0.54","36.90","483","-","-","49.30","21.45"
"DCMSHRIRAM","992.60","998.00","5.40","0.54","998.00","1,103","0.11","-","1,175.00","826.30"
"MASFIN","285.45","287.00","1.55","0.54","287.00","422","0.01","-","387.95","242.03"
"QUICKHEAL","435.70","438.05","2.35","0.54","438.05","138","0.01","-","599.70","139.05"
"ALICON","1,114.50","1,120.50","6.00","0.54","1,120.50","172","0.02","-","1,160.40","734.75"
"LUPIN","1,616.10","1,624.80","8.70","0.54","1,624.80","1,834","0.30","-","1,728.00","780.00"
"SANGAMIND","381.35","383.40","2.05","0.54","383.40","125","-","-","629.95","226.60"
"GRANULES","438.65","441.00","2.35","0.54","441.00","3,236","0.14","-","480.45","275.25"
"3IINFOLTD","37.35","37.55","0.20","0.54","37.55","758","-","-","63.90","30.95"
"HGINFRA","1,514.20","1,522.30","8.10","0.53","1,522.30","749","0.11","-","1,645.45","805.10"
"WELCORP","607.65","610.90","3.25","0.53","610.90","1,140","0.07","-","631.90","240.10"
"ROTO","440.15","442.50","2.35","0.53","442.50","151","0.01","-","473.00","298.20"
"ATL","56.30","56.60","0.30","0.53","56.60","711","-","-","82.50","31.30"
"SPORTKING","779.05","783.20","4.15","0.53","783.20","9","-","-","948.15","662.00"
"BALMLAWRIE","291.50","293.05","1.55","0.53","293.05","3,667","0.11","-","320.45","124.25"
"SPLPETRO","678.10","681.70","3.60","0.53","681.70","36","-","-","783.00","355.00"
"RVNL","377.00","379.00","2.00","0.53","379.00","2,93,390","11.12","-","399.90","110.60"
"STCINDIA","141.70","142.45","0.75","0.53","142.45","612","0.01","-","201.50","72.25"
"INDUSINDBK","1,465.10","1,472.80","7.70","0.53","1,472.80","3,941","0.58","-","1,694.50","1,251.50"
"SHAILY","647.60","651.00","3.40","0.53","651.00","5","-","-","1,914.95","309.70"
"LATENTVIEW","477.50","480.00","2.50","0.52","480.00","80","-","-","567.10","325.00"
"FINOPB","277.05","278.50","1.45","0.52","278.50","74","-","-","384.00","205.00"
"SHIVALIK","611.70","614.90","3.20","0.52","614.90","202","0.01","-","893.00","492.90"
"LOYALTEX","631.40","634.70","3.30","0.52","634.70","13","-","-","774.90","484.20"
"FMGOETZE","383.30","385.30","2.00","0.52","385.30","122","-","-","432.00","313.05"
"ATFL","702.65","706.30","3.65","0.52","706.30","44","-","-","1,090.00","650.05"
"NAVNETEDUL","154.60","155.40","0.80","0.52","155.40","237","-","-","175.90","117.40"
"MARKSANS","164.75","165.60","0.85","0.52","165.60","2,828","0.05","-","185.50","73.15"
"MSUMI","67.85","68.20","0.35","0.52","68.20","9,293","0.06","-","74.80","55.35"
"MRO-TEK","87.45","87.90","0.45","0.51","87.90","111","-","-","116.20","51.25"
"HCG","360.15","362.00","1.85","0.51","362.00","11","-","-","401.00","293.05"
"DOMS","1,849.70","1,859.20","9.50","0.51","1,859.20","264","0.05","-","2,035.00","1,225.60"
"CENTRALBK","68.15","68.50","0.35","0.51","68.50","1,33,063","0.91","-","76.90","26.40"
"PFIZER","4,551.60","4,574.95","23.35","0.51","4,574.95","10","-","-","5,000.00","3,720.00"
"ORIENTALTL","9.75","9.80","0.05","0.51","9.80","1,750","-","-","14.45","5.15"
"APCOTEXIND","400.60","402.65","2.05","0.51","402.65","2","-","-","588.00","395.70"
"MANAKSIA","107.50","108.05","0.55","0.51","108.05","200","-","-","194.20","97.00"
"GNFC","665.40","668.80","3.40","0.51","668.80","1,816","0.12","-","814.90","532.00"
"IRMENERGY","480.00","482.45","2.45","0.51","482.45","478","0.02","-","641.00","435.05"
"SAIL","166.65","167.50","0.85","0.51","167.50","53,319","0.89","-","175.35","81.80"
"POWERINDIA","10,790.85","10,845.85","55.00","0.51","10,845.85","61","0.07","-","12,379.60","3,786.00"
"JUBLFOOD","491.15","493.65","2.50","0.51","493.65","6,202","0.31","-","586.95","421.05"
"JSWENERGY","621.10","624.25","3.15","0.51","624.25","21,724","1.36","-","650.00","249.00"
"MHRIL","404.40","406.45","2.05","0.51","406.45","61","-","-","470.00","286.00"
"FDC","464.30","466.65","2.35","0.51","466.65","200","0.01","-","489.95","288.25"
"GTPL","167.95","168.80","0.85","0.51","168.80","220","-","-","217.80","105.15"
"BLS","316.30","317.90","1.60","0.51","317.90","3,133","0.10","-","429.95","177.00"
"KSB","4,478.35","4,501.00","22.65","0.51","4,501.00","24","0.01","-","5,190.00","2,013.35"
"ORIENTHOT","138.50","139.20","0.70","0.51","139.20","374","0.01","-","154.80","79.05"
"PRSMJOHNSN","148.45","149.20","0.75","0.51","149.20","264","-","-","199.00","118.00"
"SHRIRAMPPS","118.80","119.40","0.60","0.51","119.40","3,522","0.04","-","140.90","62.95"
"JINDALPOLY","515.10","517.70","2.60","0.50","517.70","50","-","-","749.05","449.20"
"TCIEXP","1,040.30","1,045.55","5.25","0.50","1,045.55","23","-","-","1,700.85","997.85"
"HATSUN","1,000.95","1,006.00","5.05","0.50","1,006.00","16","-","-","1,232.95","870.00"
"CARERATING","1,061.05","1,066.40","5.35","0.50","1,066.40","1","-","-","1,263.95","632.00"
"SUDARSCHEM","804.60","808.65","4.05","0.50","808.65","356","0.03","-","893.25","437.10"
"GREENPLY","258.40","259.70","1.30","0.50","259.70","526","0.01","-","284.65","148.85"
"BHARATGEAR","109.35","109.90","0.55","0.50","109.90","17","-","-","136.35","99.45"
"TFCILTD","159.15","159.95","0.80","0.50","159.95","1,003","0.02","-","267.55","70.45"
"GRINDWELL","2,330.90","2,342.60","11.70","0.50","2,342.60","41","0.01","-","2,495.00","1,875.20"
"ACCELYA","1,625.45","1,633.60","8.15","0.50","1,633.60","32","0.01","-","2,127.40","1,280.00"
"VAISHALI","149.60","150.35","0.75","0.50","150.35","172","-","-","203.60","114.85"
"APLLTD","947.85","952.60","4.75","0.50","952.60","43","-","-","1,094.00","542.40"
"POLYMED","1,807.85","1,816.90","9.05","0.50","1,816.90","29","0.01","-","1,857.95","963.00"
"TVSSRICHAK","4,176.80","4,197.70","20.90","0.50","4,197.70","5","-","-","5,097.00","2,755.00"
"VSTTILLERS","3,297.55","3,314.05","16.50","0.50","3,314.05","4","-","-","4,196.00","2,665.00"
"VLSFINANCE","290.55","292.00","1.45","0.50","292.00","1,554","0.05","-","322.20","149.00"
"NOVAAGRI","50.20","50.45","0.25","0.50","50.45","13,416","0.07","-","77.20","47.70"
"AAVAS","1,628.15","1,636.25","8.10","0.50","1,636.25","252","0.04","-","1,817.60","1,307.00"
"NESCO","874.45","878.80","4.35","0.50","878.80","33","-","-","934.00","597.90"
"OPTIEMUS","261.50","262.80","1.30","0.50","262.80","164","-","-","381.45","201.95"
"EVEREADY","332.85","334.50","1.65","0.50","334.50","303","0.01","-","441.90","312.95"
"PEL","829.40","833.50","4.10","0.49","833.50","2,415","0.20","-","1,139.95","766.00"
"SWANENERGY","637.80","640.95","3.15","0.49","640.95","1,357","0.09","-","782.25","214.25"
"EROSMEDIA","20.30","20.40","0.10","0.49","20.40","368","-","-","30.20","17.30"
"EMAMILTD","528.50","531.10","2.60","0.49","531.10","230","0.01","-","588.60","371.00"
"DATAPATTNS","2,919.10","2,933.45","14.35","0.49","2,933.45","1,091","0.32","-","3,443.90","1,615.60"
"KECL","194.75","195.70","0.95","0.49","195.70","6,469","0.13","-","237.20","96.35"
"HDFCLIFE","564.25","567.00","2.75","0.49","567.00","3,392","0.19","-","710.60","538.00"
"UPL","524.95","527.50","2.55","0.49","527.50","6,880","0.36","-","698.90","447.80"
"SHARDACROP","401.55","403.50","1.95","0.49","403.50","202","0.01","-","580.00","318.05"
"RPSGVENT","648.85","652.00","3.15","0.49","652.00","247","0.02","-","847.00","427.20"
"SIGIND","92.70","93.15","0.45","0.49","93.15","513","-","-","97.35","37.10"
"RIIL","1,236.15","1,242.15","6.00","0.49","1,242.15","3,029","0.38","-","1,605.00","900.85"
"WINDMACHIN","82.60","83.00","0.40","0.48","83.00","25","-","-","104.30","43.55"
"NBCC","145.05","145.75","0.70","0.48","145.75","59,401","0.87","-","176.85","38.20"
"BODALCHEM","72.70","73.05","0.35","0.48","73.05","2,443","0.02","-","100.95","64.15"
"MAHASTEEL","114.40","114.95","0.55","0.48","114.95","2","-","-","144.45","63.00"
"BESTAGRO","562.30","565.00","2.70","0.48","565.00","345","0.02","-","1,214.40","535.85"
"MIRCELECTR","20.95","21.05","0.10","0.48","21.05","2,477","0.01","-","30.45","11.45"
"UNITECH","10.50","10.55","0.05","0.48","10.55","5,800","0.01","-","19.80","1.30"
"HATHWAY","21.00","21.10","0.10","0.48","21.10","18,197","0.04","-","27.95","13.55"
"KIRIINDUS","315.50","317.00","1.50","0.48","317.00","59","-","-","452.50","261.00"
"RICOAUTO","126.60","127.20","0.60","0.47","127.20","2,200","0.03","-","157.00","78.25"
"TRACXN","85.00","85.40","0.40","0.47","85.40","1,320","0.01","-","124.20","66.30"
"GAIL","202.45","203.40","0.95","0.47","203.40","22,594","0.46","-","213.65","103.30"
"LTIM","4,892.05","4,915.00","22.95","0.47","4,915.00","1,054","0.52","-","6,442.00","4,565.50"
"GREAVESCOT","128.00","128.60","0.60","0.47","128.60","1,076","0.01","-","175.70","121.05"
"DATAMATICS","557.30","559.90","2.60","0.47","559.90","195","0.01","-","791.50","446.00"
"DREAMFOLKS","506.65","509.00","2.35","0.46","509.00","451","0.02","-","847.00","448.50"
"ASHOKLEY","226.70","227.75","1.05","0.46","227.75","1,79,886","4.10","-","230.80","144.45"
"ENGINERSIN","270.05","271.30","1.25","0.46","271.30","14,697","0.40","-","289.90","105.00"
"ORBTEXP","163.25","164.00","0.75","0.46","164.00","30","-","-","229.40","135.60"
"RESPONIND","305.00","306.40","1.40","0.46","306.40","526","0.02","-","364.95","150.55"
"DABUR","567.40","570.00","2.60","0.46","570.00","2,367","0.13","-","597.10","489.20"
"PNBHOUSING","798.85","802.50","3.65","0.46","802.50","524","0.04","-","913.70","472.80"
"RITES","733.55","736.90","3.35","0.46","736.90","2,750","0.20","-","825.95","364.80"
"OLECTRA","1,808.80","1,817.05","8.25","0.46","1,817.05","3,478","0.63","-","2,221.95","681.15"
"TITAGARH","1,251.30","1,257.00","5.70","0.46","1,257.00","2,966","0.37","-","1,312.90","346.40"
"CAPITALSFB","329.50","331.00","1.50","0.46","331.00","32","-","-","469.00","320.00"
"BANKINDIA","132.45","133.05","0.60","0.45","133.05","65,043","0.87","-","157.95","69.50"
"BHEL","298.55","299.90","1.35","0.45","299.90","31,550","0.95","-","322.50","77.25"
"GODREJCP","1,328.95","1,334.95","6.00","0.45","1,334.95","1,188","0.16","-","1,372.95","959.80"
"KOTARISUG","55.45","55.70","0.25","0.45","55.70","779","-","-","71.70","37.65"
"FINPIPE","311.60","313.00","1.40","0.45","313.00","1,259","0.04","-","327.70","163.05"
"CASTROLIND","189.70","190.55","0.85","0.45","190.55","4,082","0.08","-","230.40","112.00"
"BAJAJFINSV","1,595.80","1,602.95","7.15","0.45","1,602.95","681","0.11","-","1,741.00","1,439.50"
"SCHAEFFLER","4,588.45","4,609.00","20.55","0.45","4,609.00","162","0.07","-","4,745.00","2,612.20"
"POLYCAB","6,839.45","6,870.00","30.55","0.45","6,870.00","1,090","0.75","-","6,900.00","3,379.05"
"M&MFIN","269.25","270.45","1.20","0.45","270.45","4,624","0.13","-","346.55","237.35"
"BHARATFORG","1,572.00","1,579.00","7.00","0.45","1,579.00","1,640","0.26","-","1,600.00","766.30"
"CESC","146.00","146.65","0.65","0.45","146.65","2,457","0.04","-","157.65","68.70"
"IDFCFIRSTB","78.65","79.00","0.35","0.45","79.00","1,42,047","1.12","-","100.70","69.60"
"KANSAINER","269.80","271.00","1.20","0.44","271.00","399","0.01","-","357.30","257.50"
"MPHASIS","2,441.15","2,452.00","10.85","0.44","2,452.00","641","0.16","-","2,837.60","1,807.60"
"ADANIPORTS","1,431.65","1,438.00","6.35","0.44","1,438.00","8,202","1.18","-","1,457.05","703.00"
"NHPC","102.30","102.75","0.45","0.44","102.75","2,64,665","2.72","-","115.85","42.75"
"ALLCARGO","68.60","68.90","0.30","0.44","68.90","1,639","0.01","-","98.00","61.41"
"BALAXI","709.40","712.50","3.10","0.44","712.50","824","0.06","-","734.50","399.95"
"IEX","160.80","161.50","0.70","0.44","161.50","36,447","0.59","-","173.35","116.00"
"POONAWALLA","449.05","451.00","1.95","0.43","451.00","2,052","0.09","-","519.70","332.10"
"ISMTLTD","115.20","115.70","0.50","0.43","115.70","339","-","-","133.95","68.20"
"ISEC","725.85","729.00","3.15","0.43","729.00","291","0.02","-","866.45","489.00"
"DENORA","1,545.40","1,552.10","6.70","0.43","1,552.10","14","-","-","2,336.95","1,293.20"
"SRF","2,309.90","2,319.90","10.00","0.43","2,319.90","555","0.13","-","2,693.95","2,040.00"
"JSWSTEEL","901.95","905.85","3.90","0.43","905.85","2,030","0.18","-","928.95","691.00"
"INDIAMART","2,548.75","2,559.75","11.00","0.43","2,559.75","70","0.02","-","3,335.55","2,393.35"
"INDIANHUME","325.60","327.00","1.40","0.43","327.00","267","0.01","-","369.80","138.55"
"EXPLEOSOL","1,248.55","1,253.90","5.35","0.43","1,253.90","12","-","-","1,777.20","1,198.20"
"INDTERRAIN","70.10","70.40","0.30","0.43","70.40","503","-","-","86.00","50.70"
"TVSELECT","317.10","318.45","1.35","0.43","318.45","346","0.01","-","432.80","238.00"
"PCBL","246.75","247.80","1.05","0.43","247.80","3,147","0.08","-","343.50","132.85"
"PNB","129.55","130.10","0.55","0.42","130.10","2,38,231","3.10","-","142.90","49.70"
"BEL","294.45","295.70","1.25","0.42","295.70","1,48,074","4.38","-","303.20","110.20"
"KOPRAN","235.60","236.60","1.00","0.42","236.60","300","0.01","-","292.30","140.85"
"KABRAEXTRU","401.25","402.95","1.70","0.42","402.95","1,978","0.08","-","513.80","290.65"
"GUFICBIO","319.45","320.80","1.35","0.42","320.80","459","0.01","-","364.90","193.55"
"ONMOBILE","71.20","71.50","0.30","0.42","71.50","6,928","0.05","-","128.40","59.55"
"BALRAMCHIN","380.20","381.80","1.60","0.42","381.80","811","0.03","-","485.90","343.50"
"PATANJALI","1,438.95","1,445.00","6.05","0.42","1,445.00","1,040","0.15","-","1,713.80","1,002.05"
"SHREEPUSHK","178.45","179.20","0.75","0.42","179.20","501","0.01","-","242.00","155.15"
"SHRIRAMFIN","2,380.00","2,390.00","10.00","0.42","2,390.00","1,681","0.40","-","2,658.00","1,383.60"
"KRBL","275.85","277.00","1.15","0.42","277.00","1,476","0.04","-","470.90","274.10"
"SPANDANA","770.80","774.00","3.20","0.42","774.00","149","0.01","-","1,243.20","638.00"
"SIYSIL","457.90","459.80","1.90","0.41","459.80","227","0.01","-","635.00","431.10"
"VIMTALABS","506.90","509.00","2.10","0.41","509.00","66","-","-","623.15","385.25"
"REDINGTON","205.60","206.45","0.85","0.41","206.45","1,737","0.04","-","237.55","136.20"
"PCJEWELLER","48.40","48.60","0.20","0.41","48.60","1,166","0.01","-","66.50","23.40"
"ADFFOODS","218.50","219.40","0.90","0.41","219.40","1,126","0.02","-","261.95","168.09"
"PATELENG","61.00","61.25","0.25","0.41","61.25","11,122","0.07","-","79.00","25.45"
"KUANTUM","159.35","160.00","0.65","0.41","160.00","214","-","-","225.85","143.50"
"GLAND","1,866.40","1,874.00","7.60","0.41","1,874.00","317","0.06","-","2,194.00","896.50"
"ASIANTILES","61.50","61.75","0.25","0.41","61.75","624","-","-","86.10","44.20"
"WSTCSTPAPR","616.50","619.00","2.50","0.41","619.00","1,170","0.07","-","815.00","465.30"
"SPIC","74.10","74.40","0.30","0.40","74.40","1,275","0.01","-","107.50","62.00"
"IGPL","495.50","497.50","2.00","0.40","497.50","331","0.02","-","589.70","402.50"
"ABAN","62.00","62.25","0.25","0.40","62.25","150","-","-","93.35","38.95"
"TIIL","2,314.35","2,323.65","9.30","0.40","2,323.65","2","-","-","2,725.00","1,450.70"
"GILLETTE","7,136.05","7,164.55","28.50","0.40","7,164.55","45","0.03","-","7,335.65","4,272.60"
"VARROC","551.80","554.00","2.20","0.40","554.00","423","0.02","-","632.00","298.05"
"SESHAPAPER","326.25","327.55","1.30","0.40","327.55","5","-","-","421.85","254.15"
"IRCON","276.40","277.50","1.10","0.40","277.50","55,391","1.54","-","301.45","78.50"
"JINDALSAW","565.75","568.00","2.25","0.40","568.00","3,570","0.20","-","598.00","191.00"
"ATULAUTO","528.90","531.00","2.10","0.40","531.00","162","0.01","-","693.00","325.00"
"IIFLSEC","189.45","190.20","0.75","0.40","190.20","5,572","0.11","-","206.00","57.20"
"SPECIALITY","177.05","177.75","0.70","0.40","177.75","56","-","-","287.10","168.20"
"VETO","126.50","127.00","0.50","0.40","127.00","1","-","-","156.40","94.65"
"SYNCOMF","12.70","12.75","0.05","0.39","12.75","6,890","0.01","-","18.65","6.30"
"UCAL","166.35","167.00","0.65","0.39","167.00","100","-","-","195.50","118.35"
"CAMS","3,526.35","3,540.00","13.65","0.39","3,540.00","232","0.08","-","3,636.45","2,132.00"
"MGL","1,304.95","1,310.00","5.05","0.39","1,310.00","124","0.02","-","1,580.00","970.55"
"THANGAMAYL","1,263.15","1,268.00","4.85","0.38","1,268.00","3","-","-","1,549.50","659.00"
"ZOMATO","183.65","184.35","0.70","0.38","184.35","82,859","1.53","-","207.20","66.30"
"ZENTEC","958.35","962.00","3.65","0.38","962.00","528","0.05","-","1,130.00","353.55"
"JETFREIGHT","13.15","13.20","0.05","0.38","13.20","26","-","-","16.90","9.20"
"MANALIPETC","79.00","79.30","0.30","0.38","79.30","2,306","0.02","-","87.20","55.95"
"IMFA","725.35","728.10","2.75","0.38","728.10","384","0.03","-","768.00","274.50"
"CAPLIPOINT","1,294.10","1,299.00","4.90","0.38","1,299.00","94","0.01","-","1,619.05","731.55"
"BCLIND","52.90","53.10","0.20","0.38","53.10","2,818","0.01","-","86.30","43.20"
"BLUESTARCO","1,486.90","1,492.50","5.60","0.38","1,492.50","790","0.12","-","1,634.40","701.70"
"ULTRACEMCO","10,225.50","10,264.00","38.50","0.38","10,264.00","625","0.64","-","10,526.00","7,735.00"
"HEG","2,257.90","2,266.40","8.50","0.38","2,266.40","463","0.10","-","2,743.00","1,113.30"
"SWSOLAR","757.20","760.05","2.85","0.38","760.05","3,045","0.23","-","828.00","253.00"
"CGPOWER","651.00","653.45","2.45","0.38","653.45","3,709","0.24","-","669.00","359.20"
"KOHINOOR","40.05","40.20","0.15","0.37","40.20","2","-","-","61.75","31.70"
"SANDUMA","547.95","550.00","2.05","0.37","550.00","2,647","0.15","-","614.00","238.27"
"IDEAFORGE","696.40","699.00","2.60","0.37","699.00","676","0.05","-","1,343.95","655.20"
"BFINVEST","563.10","565.20","2.10","0.37","565.20","270","0.02","-","650.00","373.50"
"SUTLEJTEX","53.75","53.95","0.20","0.37","53.95","2","-","-","73.45","44.10"
"BALAMINES","2,176.90","2,185.00","8.10","0.37","2,185.00","243","0.05","-","2,735.00","2,000.00"
"VOLTAS","1,411.15","1,416.40","5.25","0.37","1,416.40","1,304","0.18","-","1,502.30","745.00"
"HPL","419.45","421.00","1.55","0.37","421.00","1,571","0.07","-","438.70","92.15"
"JINDALSTEL","1,059.30","1,063.20","3.90","0.37","1,063.20","801","0.09","-","1,085.95","507.95"
"TEJASNET","1,160.05","1,164.30","4.25","0.37","1,164.30","966","0.11","-","1,246.00","651.25"
"MADRASFERT","95.80","96.15","0.35","0.37","96.15","947","0.01","-","124.35","67.60"
"KHAICHEM","68.65","68.90","0.25","0.36","68.90","30","-","-","96.25","60.00"
"TAINWALCHM","179.35","180.00","0.65","0.36","180.00","57","-","-","217.95","109.00"
"ANURAS","762.95","765.70","2.75","0.36","765.70","63","-","-","1,223.00","759.00"
"FSL","194.30","195.00","0.70","0.36","195.00","4,397","0.09","-","228.90","122.15"
"AVADHSUGAR","531.10","533.00","1.90","0.36","533.00","100","0.01","-","855.00","471.80"
"DHANBANK","41.95","42.10","0.15","0.36","42.10","3,364","0.01","-","59.00","16.35"
"MONARCH","546.10","548.05","1.95","0.36","548.05","4","-","-","689.95","201.05"
"PERSISTENT","3,736.70","3,750.00","13.30","0.36","3,750.00","1,013","0.38","-","4,096.65","1,158.59"
"HGS","817.10","820.00","2.90","0.35","820.00","30","-","-","1,149.80","718.80"
"CHEMPLASTS","468.30","469.95","1.65","0.35","469.95","198","0.01","-","543.25","413.45"
"PAYTM","356.70","357.95","1.25","0.35","357.95","9,953","0.36","-","998.30","310.00"
"GLOBUSSPR","772.30","775.00","2.70","0.35","775.00","197","0.02","-","1,327.70","661.30"
"WELSPUNLIV","143.85","144.35","0.50","0.35","144.35","1,787","0.03","-","171.25","87.50"
"AHLUCONT","1,280.45","1,284.90","4.45","0.35","1,284.90","36","-","-","1,309.00","556.10"
"ROUTE","1,429.85","1,434.80","4.95","0.35","1,434.80","32","-","-","1,759.90","1,401.20"
"RECLTD","579.00","581.00","2.00","0.35","581.00","57,676","3.35","-","591.40","134.00"
"GRASIM","2,390.65","2,398.90","8.25","0.35","2,398.90","1,304","0.31","-","2,489.75","1,676.10"
"HINDOILEXP","188.55","189.20","0.65","0.34","189.20","791","0.01","-","257.95","154.70"
"HNDFDS","493.30","495.00","1.70","0.34","495.00","100","-","-","629.95","467.00"
"BANDHANBNK","189.05","189.70","0.65","0.34","189.70","59,513","1.13","-","272.00","170.30"
"DHANUKA","1,265.65","1,270.00","4.35","0.34","1,270.00","54","0.01","-","1,428.95","703.35"
"NCLIND","203.90","204.60","0.70","0.34","204.60","2","-","-","258.20","173.45"
"WIPRO","452.45","454.00","1.55","0.34","454.00","16,395","0.74","-","545.90","375.05"
"ENDURANCE","2,192.50","2,200.00","7.50","0.34","2,200.00","190","0.04","-","2,318.80","1,404.00"
"CORDSCABLE","220.10","220.85","0.75","0.34","220.85","559","0.01","-","244.00","84.35"
"EASEMYTRIP","44.05","44.20","0.15","0.34","44.20","19,970","0.09","-","54.00","37.00"
"IRCTC","1,101.25","1,105.00","3.75","0.34","1,105.00","7,504","0.83","-","1,138.90","614.35"
"SBILIFE","1,410.20","1,415.00","4.80","0.34","1,415.00","2,536","0.36","-","1,569.40","1,197.10"
"TATACHEM","1,105.15","1,108.90","3.75","0.34","1,108.90","2,853","0.32","-","1,349.00","933.00"
"TRENT","4,682.00","4,697.85","15.85","0.34","4,697.85","478","0.22","-","4,777.90","1,523.10"
"JKCEMENT","3,991.45","4,004.95","13.50","0.34","4,004.95","93","0.04","-","4,575.00","2,988.75"
"DHAMPURSUG","222.25","223.00","0.75","0.34","223.00","906","0.02","-","325.75","206.00"
"HCLTECH","1,353.30","1,357.85","4.55","0.34","1,357.85","5,326","0.72","-","1,697.35","1,087.05"
"PGHH","15,787.35","15,840.00","52.65","0.33","15,840.00","8","0.01","-","19,250.00","13,440.00"
"INNOVACAP","496.35","498.00","1.65","0.33","498.00","130","0.01","-","588.00","443.25"
"ORIENTCEM","211.50","212.20","0.70","0.33","212.20","222","-","-","293.75","125.00"
"ABCAPITAL","226.85","227.60","0.75","0.33","227.60","16,051","0.37","-","243.70","155.00"
"POWERGRID","317.95","319.00","1.05","0.33","319.00","19,733","0.63","-","327.75","172.50"
"INDOCO","317.95","319.00","1.05","0.33","319.00","408","0.01","-","415.00","308.30"
"GANESHBE","151.45","151.95","0.50","0.33","151.95","71","-","-","217.05","135.10"
"GICRE","364.55","365.75","1.20","0.33","365.75","1,438","0.05","-","467.80","176.40"
"TDPOWERSYS","334.45","335.55","1.10","0.33","335.55","836","0.03","-","361.00","192.40"
"MANGLMCEM","882.10","885.00","2.90","0.33","885.00","19","-","-","931.00","283.00"
"GOPAL","320.10","321.15","1.05","0.33","321.15","171","0.01","-","392.85","308.20"
"DHANI","45.85","46.00","0.15","0.33","46.00","6,343","0.03","-","56.80","29.90"
"IIFL","398.60","399.90","1.30","0.33","399.90","1,337","0.05","-","682.91","304.13"
"ASKAUTOLTD","308.00","309.00","1.00","0.32","309.00","275","0.01","-","334.60","240.10"
