,comb_str,comb_freq,comb_size,imp_flag,bkt_below_10_cnt,bkt_10_20_cnt,bkt_20_50_cnt,bkt_50_100_cnt,bkt_100_above,comb_detail_str,conf_detail_str,conf_max,conf_min,conf_flag
1294,GOOD_REAL,9,3345,0,4,0,0,0,0,GOOD~2#:#REAL~2,4.5#:#4.5,4.5,4.5,1
1295,CHICKEN_LEMON,2,3345,1,4,0,0,0,0,CHICKEN~3#:#LEMON~2,0.67#:#1.0,1.0,0.67,0
1296,FRESH_LEMON,4,3345,2,4,0,0,0,0,FRESH~3#:#LEMON~2,1.33#:#2.0,2.0,1.33,1
1297,LEMON_PEPPERS,2,3345,1,4,0,0,0,0,LEMON~2#:#PEPPERS~2,1.0#:#1.0,1.0,1.0,1
1298,LICIOUS_PEPPERS,4,3345,0,4,0,0,0,0,LICIOUS~2#:#PEPPERS~2,2.0#:#2.0,2.0,2.0,1
1299,FOR_FRESH,3,3345,2,4,0,0,0,0,FOR~2#:#FRESH~3,1.5#:#1.0,1.5,1.0,1
1300,CUTS_FOR,2,3345,1,4,0,0,0,0,CUTS~2#:#FOR~2,1.0#:#1.0,1.0,1.0,1
1301,LICIOUS_SAUCE,2,3345,0,4,0,0,0,0,LICIOUS~2#:#SAUCE~2,1.0#:#1.0,1.0,1.0,1
1302,CHICKEN_LIME,2,3345,1,4,0,0,0,0,CHICKEN~3#:#LIME~2,0.67#:#1.0,1.0,0.67,0
1303,LICIOUS_THIGH,2,3345,0,4,0,0,0,0,LICIOUS~2#:#THIGH~2,1.0#:#1.0,1.0,1.0,1
1304,CHICKEN_CHILLI,3,3345,0,4,0,0,0,0,CHICKEN~3#:#CHILLI~2,1.0#:#1.5,1.5,1.0,1
1305,CHILLI_GREEN,6,3345,0,4,0,0,0,0,CHILLI~2#:#GREEN~2,3.0#:#3.0,3.0,3.0,1
1306,CHILLI_LICIOUS,2,3345,0,4,0,0,0,0,CHILLI~2#:#LICIOUS~2,1.0#:#1.0,1.0,1.0,1
1307,CHILLI_STYLE,3,3345,0,4,0,0,0,0,CHILLI~2#:#STYLE~2,1.5#:#1.5,1.5,1.5,1
1308,GREEN_STYLE,7,3345,0,4,0,0,0,0,GREEN~2#:#STYLE~2,3.5#:#3.5,3.5,3.5,1
1309,BABY_WITH,3,3345,2,4,0,0,0,0,BABY~2#:#WITH~2,1.5#:#1.5,1.5,1.5,1
1310,EAT_SAUCE,3,3345,0,4,0,0,0,0,EAT~2#:#SAUCE~2,1.5#:#1.5,1.5,1.5,1
1311,CREAMY_FAMILY,2,3345,1,4,0,0,0,0,CREAMY~3#:#FAMILY~2,0.67#:#1.0,1.0,0.67,0
1312,CREAMY_POTATO,4,3345,1,4,0,0,0,0,CREAMY~3#:#POTATO~2,1.33#:#2.0,2.0,1.33,1
1313,FAMILY_PACK,15,3345,1,4,0,0,0,0,FAMILY~2#:#PACK~3,7.5#:#5.0,7.5,5.0,1
1314,PACK_POTATO,8,3345,1,4,0,0,0,0,PACK~3#:#POTATO~2,2.67#:#4.0,4.0,2.67,1
1315,CHEF#ITC#MASTER_PACK,5,3345,1,4,0,0,0,0,CHEF#ITC#MASTER~2#:#PACK~3,2.5#:#1.67,2.5,1.67,1
1316,FAMILY_POTATO,2,3345,0,4,0,0,0,0,FAMILY~2#:#POTATO~2,1.0#:#1.0,1.0,1.0,1
1317,CHEF#ITC#MASTER_FAMILY,2,3345,0,4,0,0,0,0,CHEF#ITC#MASTER~2#:#FAMILY~2,1.0#:#1.0,1.0,1.0,1
1318,CHEF#ITC#MASTER_POTATO,6,3345,0,4,0,0,0,0,CHEF#ITC#MASTER~2#:#POTATO~2,3.0#:#3.0,3.0,3.0,1
1319,AND_BLACK,2,3345,1,4,0,0,0,0,AND~2#:#BLACK~2,1.0#:#1.0,1.0,1.0,1
1320,AND_PEPPERS,2,3345,0,4,0,0,0,0,AND~2#:#PEPPERS~2,1.0#:#1.0,1.0,1.0,1
1321,AND_ROASTED,6,3345,0,4,0,0,0,0,AND~2#:#ROASTED~2,3.0#:#3.0,3.0,3.0,1
1322,BLACK_PEPPERS,5,3345,1,4,0,0,0,0,BLACK~2#:#PEPPERS~2,2.5#:#2.5,2.5,2.5,1
1323,BLACK_SALT,2,3345,2,4,0,0,0,0,BLACK~2#:#SALT~2,1.0#:#1.0,1.0,1.0,1
1324,PEPPERS_ROASTED,4,3345,0,4,0,0,0,0,PEPPERS~2#:#ROASTED~2,2.0#:#2.0,2.0,2.0,1
