,Role,Count
523,Innovation,1
524,AI.Cloud,1
525,Microsoft,2
526,AWS,1
527,Devops,1
528,Imagineer,1
529,Tester,1
530,Growth,1
531,Head-,1
532,Sector,1
533,User,1
534,WW,1
535,BD,1
536,Corporate,1
537,Clerk,1
538,Value,1
539,Discovery,1
540,â€“,2
541,EAM,1
542,Power,3
543,DeveloperMIS,1
544,TechnologyEDML,1
545,Success,1
546,CPG,1
547,Logistics,1
548,initiatives,1
549,DnA,1
550,Managerdata,1
551,Anti-Money,1
552,Laundering,1
553,AML,1
554,Inventec,1
555,Private,1
556,Region,2
557,TUG,1
558,Cognitive,1
559,Adoption,1
560,Emeritus,1
561,Engineeer,1
562,ASDA,1
563,ANZ,1
564,Key,1
565,Sourcer,1
566,Website,1
567,Trainee,1
568,Transportation,1
569,Mobility,1
570,Vertical,1
571,Entrepreneur,1
572,AUTOSAR,1
573,Trainings,1
574,Presales,1
575,QDSS,1
576,formerly,1
577,EXB,1
578,CS,1
579,Event,1
580,DataScience,1
581,Temporary,1
582,Intel,1
583,US,1
584,Acqusition,1
585,Singapore,1
586,Australia,1
587,Brunei,1
588,MY,1
589,GBS,2
590,NPD,1
591,Purchase,2
592,Asc.,1
593,DGM,1
594,Piping,1
595,CSR,1
596,Modeling,2
597,Control,1
598,Instrument,1
599,IIoT,2
600,Evangelist,1
601,Techno-functional,1
602,Biology,1
603,Educator,1
604,ICSE,1
605,IND,1
606,Admin,1
607,GRA,1
608,Infra,2
609,Spectrum,1
610,Mgmt.,1
611,calibration,1
612,Verification,1
613,Funtional,1
614,SCM,1
615,Manager-IT,1
616,Trust,1
617,Foundational,1
618,Iguazio,1
619,McKinsey,1
620,Company,1
621,Domain,1
622,CTIO,1
623,as,1
624,Code,1
625,ServiceNow,1
626,||,1
627,--,1
628,QA,2
629,Boltrics,1
630,3PL,1
631,better,1
632,Artist,1
633,Co-founder,1
634,Water,1
635,Wastewater,1
636,lead,1
637,QC,1
638,Academic,1
639,COIN,1
640,Siemens,1
641,Industries,1
642,DACH,1
643,Bigdata,1
644,Investor,1
645,Trader,1
646,Incharge,1
647,Mgr.,1
648,Chapter,1
649,Total,1
650,Rewards,1
651,Middle,1
652,East,1
653,Africa,1
654,BU-,1
655,with,1
656,22+,1
657,yrs,1
658,exp,1
659,Mgt,1
660,Telecom,1
661,domains,1
662,Packaged,1
663,Relationships,1
664,Head-Curriculum,1
665,CIO,1
666,CDO,1
667,Bharat,1
668,Forge,1
