,ing_id,cls_rep_id
774,10948,10948
775,10954,10954
776,10967,10967
777,10964,10967
778,11133,11133
779,11139,11133
780,11141,11133
781,11393,11393
782,11096,11096
783,10292,10292
784,10299,10299
785,10301,10299
786,10162,10162
787,20092,10162
788,10166,10166
789,10163,10166
790,11014,11014
791,11061,11061
792,11084,11084
793,20705,20705
794,20849,20849
795,20939,20939
796,20748,20748
797,20765,20765
798,20003,20003
799,20012,20012
800,20027,20027
801,20029,20029
802,20263,20263
803,20260,20263
804,20264,20264
805,20348,20348
806,20350,20348
807,20353,20353
808,20372,20372
809,20053,20053
810,20100,20100
811,20118,20100
812,20104,20104
813,20144,20144
814,20570,20570
815,20576,20576
816,20693,20693
817,10053,10053
818,10315,10315
819,10938,10938
820,10752,10752
821,10899,10899
822,10771,10771
823,10113,10113
824,10117,10113
825,10877,10877
826,10025,10025
827,10034,10034
828,10581,10581
829,10087,10087
830,10631,10631
831,11108,11108
832,11175,11108
833,10460,10460
834,10472,10472
835,10462,10472
836,10532,10532
837,10739,10739
838,10170,10170
839,11009,11009
840,11022,11022
841,11064,11064
842,20940,20940
843,20651,20651
844,20686,20686
845,20687,20687
846,20688,20688
847,20760,20760
848,20784,20784
849,20827,20827
850,20974,20974
851,20866,20866
852,20893,20893
853,20894,20894
854,20907,20907
855,20018,20018
856,20195,20195
857,20236,20236
858,20257,20257
859,20268,20268
860,20390,20390
861,20391,20391
862,20392,20391
863,20548,20548
864,20537,20537
865,20529,20529
866,20442,20442
867,20116,20116
868,20146,20146
869,20148,20148
870,20153,20153
871,20154,20154
872,20160,20160
873,20184,20160
874,20577,20577
875,20587,20587
876,20605,20605
877,20608,20608
878,20613,20613
879,20771,20771
880,10762,10762
881,10543,10543
882,10320,10320
883,10146,10146
884,10984,10984
885,10756,10756
886,21005,10756
887,10755,10756
888,10919,10919
889,10829,10829
890,10794,10794
891,10878,10878
892,20424,10878
893,10354,10354
894,10427,10427
895,10433,10427
896,10396,10396
897,10397,10397
898,10612,10612
899,10090,10090
900,10085,10085
901,10084,10085
